tumor_label,images_tested,mean_aspect_ratio_error,max_aspect_ratio_error,mean_nonzero_fraction,mean_content_fraction
glioma,1,0.0,0.0,0.6783123405612245,0.7098214285714286
meningioma,2,0.0010760818985574572,0.0021521637971149143,0.9122289540816326,0.9196428571428572
no_tumor,2,0.0002722125435539735,0.000544425087107947,0.7059351084183674,0.7702188297193877
pituitary,2,0.0007440476190476164,0.0014880952380952328,0.6533003826530612,0.857162786989796
