,mean_intensity,median_intensity,pixel_std,nonzero_percentage,width,height,aspect_ratio
mean_intensity,1.0,0.8554152316717656,0.5577155329394781,0.5662030015023911,-0.2615687791014529,-0.24058380880209215,-0.20176868531781778
median_intensity,0.8554152316717656,1.0,0.19374110326507957,0.6530243828339674,-0.18154379263656253,-0.16538418939630076,-0.1354392653968571
pixel_std,0.5577155329394781,0.19374110326507957,1.0,0.01628676231064383,-0.36732393250154405,-0.3440202943670396,-0.26470730200368553
nonzero_percentage,0.5662030015023911,0.6530243828339674,0.01628676231064383,1.0,0.205926571131896,0.20353470885895217,0.10359786899485869
width,-0.2615687791014529,-0.18154379263656253,-0.36732393250154405,0.205926571131896,1.0,0.9729252815039476,0.6147319789523419
height,-0.24058380880209215,-0.16538418939630076,-0.3440202943670396,0.20353470885895217,0.9729252815039476,1.0,0.49710029897333513
aspect_ratio,-0.20176868531781778,-0.1354392653968571,-0.26470730200368553,0.10359786899485869,0.6147319789523419,0.49710029897333513,1.0
