metric,value
expected_images,6000
successfully_processed,6000
processing_errors,0
train_images,5000
test_images,1000
missing_processed_files,0
processed_property_errors,0
target_width,224
target_height,224
target_channels,3
target_mode,RGB
target_format,PNG
aspect_ratio_preserving,Yes
symmetric_padding,Yes
normalization_stage,Model input pipeline
original_dataset_modified,No
