epoch,loss,accuracy,val_loss,val_accuracy,lr
1,0.7599444389343262,0.7102500200271606,1.8125852346420288,0.29600000381469727,0.001
2,0.5108798146247864,0.796500027179718,2.307884693145752,0.4399999976158142,0.001
3,0.42730072140693665,0.8362500071525574,2.8859546184539795,0.2329999953508377,0.001
4,0.3630557656288147,0.8539999723434448,2.360947847366333,0.40400001406669617,0.001
5,0.30503785610198975,0.8822500109672546,0.6025320291519165,0.7879999876022339,0.0005
6,0.2658783495426178,0.8957499861717224,0.5848373174667358,0.7879999876022339,0.0005
7,0.2545175850391388,0.8980000019073486,1.258067011833191,0.5659999847412109,0.0005
8,0.22600945830345154,0.9104999899864197,0.2563053071498871,0.890999972820282,0.0005
9,0.20373298227787018,0.922249972820282,1.9700590372085571,0.4440000057220459,0.0005
10,0.19936145842075348,0.9192500114440918,1.0857125520706177,0.5870000123977661,0.0005
11,0.16418369114398956,0.9392499923706055,0.5782790780067444,0.7549999952316284,0.0005
12,0.13409826159477234,0.9490000009536743,1.4658823013305664,0.503000020980835,0.00025
13,0.10852017998695374,0.9627500176429749,1.2668789625167847,0.6439999938011169,0.00025
14,0.0945071205496788,0.9662500023841858,0.3424925208091736,0.8659999966621399,0.00025
15,0.08864124864339828,0.9670000076293945,0.17131778597831726,0.9300000071525574,0.000125
16,0.07537512481212616,0.9745000004768372,0.28601717948913574,0.8930000066757202,0.000125
17,0.06940732151269913,0.9782500267028809,0.44291552901268005,0.8550000190734863,0.000125
18,0.060509998351335526,0.981249988079071,0.2124924510717392,0.9290000200271606,0.000125
19,0.04556913673877716,0.9882500171661377,0.18423189222812653,0.9419999718666077,6.25e-05
20,0.03658093884587288,0.9902499914169312,0.14146679639816284,0.9440000057220459,6.25e-05
21,0.03576099872589111,0.9907500147819519,0.17516900599002838,0.9449999928474426,6.25e-05
22,0.035041239112615585,0.9904999732971191,0.22585263848304749,0.9210000038146973,6.25e-05
23,0.03340986371040344,0.9915000200271606,0.13149617612361908,0.9629999995231628,6.25e-05
24,0.0292406864464283,0.9934999942779541,0.13841351866722107,0.9589999914169312,6.25e-05
25,0.028076011687517166,0.9929999709129333,0.22291480004787445,0.9200000166893005,6.25e-05
26,0.02780107408761978,0.9915000200271606,0.6032421588897705,0.8119999766349792,6.25e-05
27,0.02291947603225708,0.9955000281333923,0.11610893905162811,0.968999981880188,3.125e-05
28,0.02323618344962597,0.9957500100135803,0.10915955156087875,0.9649999737739563,3.125e-05
29,0.02220746874809265,0.9962499737739563,0.14748142659664154,0.9509999752044678,3.125e-05
30,0.02171671763062477,0.9957500100135803,0.10860198736190796,0.9620000123977661,3.125e-05
