channel,mean_0_1,std_0_1,minimum_0_1,maximum_0_1
R,0.16727468219338631,0.18372874143203852,0.0,1.0
G,0.16727468219338631,0.18372874143203852,0.0,1.0
B,0.16727468219338631,0.18372874143203852,0.0,1.0
