epoch,accuracy,loss,lr,val_accuracy,val_loss
10,0.9524999856948853,0.13539914786815643,1e-05,0.9459999799728394,0.18388141691684723
11,0.9649999737739563,0.08971753716468811,1e-05,0.9459999799728394,0.17137537896633148
12,0.9700000286102295,0.086208276450634,1e-05,0.953000009059906,0.15501123666763306
13,0.9722499847412109,0.07460284233093262,1e-05,0.9520000219345093,0.16005916893482208
14,0.9772499799728394,0.06043293699622154,1e-05,0.9559999704360962,0.14867055416107178
15,0.9797499775886536,0.057166650891304016,1e-05,0.9539999961853027,0.14696386456489563
16,0.9865000247955322,0.04610048606991768,1e-05,0.9610000252723694,0.1626235842704773
17,0.981249988079071,0.055530257523059845,1e-05,0.9589999914169312,0.1437831073999405
18,0.9869999885559082,0.04466940462589264,1e-05,0.9620000123977661,0.14702485501766205
19,0.9907500147819519,0.03353123366832733,1e-05,0.9559999704360962,0.150021493434906
20,0.9900000095367432,0.03281208127737045,1e-05,0.9549999833106995,0.14372120797634125
21,0.9865000247955322,0.035763684660196304,5e-06,0.9610000252723694,0.14141644537448883
22,0.9919999837875366,0.02728741243481636,5e-06,0.9599999785423279,0.14302130043506622
23,0.9915000200271606,0.03195495903491974,5e-06,0.9620000123977661,0.13642476499080658
24,0.9907500147819519,0.03135551139712334,5e-06,0.9599999785423279,0.14418303966522217
25,0.9937499761581421,0.026154514402151108,5e-06,0.9620000123977661,0.13966260850429535
26,0.9927499890327454,0.022987963631749153,5e-06,0.9589999914169312,0.147272527217865
27,0.9929999709129333,0.023781897500157356,2.5e-06,0.9620000123977661,0.14585159718990326
28,0.9932500123977661,0.02583460696041584,2.5e-06,0.9629999995231628,0.14498719573020935
29,0.9937499761581421,0.020471084862947464,2.5e-06,0.9629999995231628,0.1470513641834259
