epoch,val_loss,loss,accuracy,val_accuracy,lr
1,0.3777995705604553,0.7338283061981201,0.7832499742507935,0.8799999952316284,0.001
2,0.3219192624092102,0.3787079453468323,0.8675000071525574,0.8939999938011169,0.001
3,0.26048630475997925,0.33335062861442566,0.8837500214576721,0.9120000004768372,0.001
4,0.2820805311203003,0.27033862471580505,0.8980000019073486,0.9169999957084656,0.001
5,0.2566719353199005,0.23824216425418854,0.9110000133514404,0.925000011920929,0.001
6,0.27016791701316833,0.23043935000896454,0.918749988079071,0.9160000085830688,0.001
7,0.32756999135017395,0.20481356978416443,0.921750009059906,0.9110000133514404,0.001
8,0.20078492164611816,0.2119082361459732,0.9254999756813049,0.9309999942779541,0.001
9,0.27581027150154114,0.1675165444612503,0.9399999976158142,0.9340000152587891,0.001
10,0.22897522151470184,0.1836240142583847,0.9362499713897705,0.9300000071525574,0.001
11,0.18388141691684723,0.13539914786815643,0.9524999856948853,0.9459999799728394,1e-05
12,0.17137537896633148,0.08971753716468811,0.9649999737739563,0.9459999799728394,1e-05
13,0.15501123666763306,0.086208276450634,0.9700000286102295,0.953000009059906,1e-05
14,0.16005916893482208,0.07460284233093262,0.9722499847412109,0.9520000219345093,1e-05
15,0.14867055416107178,0.06043293699622154,0.9772499799728394,0.9559999704360962,1e-05
16,0.14696386456489563,0.057166650891304016,0.9797499775886536,0.9539999961853027,1e-05
17,0.1626235842704773,0.04610048606991768,0.9865000247955322,0.9610000252723694,1e-05
18,0.1437831073999405,0.055530257523059845,0.981249988079071,0.9589999914169312,1e-05
19,0.14702485501766205,0.04466940462589264,0.9869999885559082,0.9620000123977661,1e-05
20,0.150021493434906,0.03353123366832733,0.9907500147819519,0.9559999704360962,1e-05
21,0.14372120797634125,0.03281208127737045,0.9900000095367432,0.9549999833106995,1e-05
22,0.14141644537448883,0.035763684660196304,0.9865000247955322,0.9610000252723694,5e-06
23,0.14302130043506622,0.02728741243481636,0.9919999837875366,0.9599999785423279,5e-06
24,0.13642476499080658,0.03195495903491974,0.9915000200271606,0.9620000123977661,5e-06
25,0.14418303966522217,0.03135551139712334,0.9907500147819519,0.9599999785423279,5e-06
26,0.13966260850429535,0.026154514402151108,0.9937499761581421,0.9620000123977661,5e-06
27,0.147272527217865,0.022987963631749153,0.9927499890327454,0.9589999914169312,5e-06
28,0.14585159718990326,0.023781897500157356,0.9929999709129333,0.9620000123977661,2.5e-06
29,0.14498719573020935,0.02583460696041584,0.9932500123977661,0.9629999995231628,2.5e-06
30,0.1470513641834259,0.020471084862947464,0.9937499761581421,0.9629999995231628,2.5e-06
