mapping,output_order,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
original,"glioma, meningioma, pituitary, no_tumor",0.3,0.25,0.075,0.25,0.11538461538461538
swap_2_3,"glioma, meningioma, no_tumor, pituitary",0.14,0.25,0.035,0.25,0.06140350877192982
