class,precision,recall,f1_score,support
glioma,0.9629629629629629,0.9212598425196851,0.9416498993963783,254
meningioma,0.9381107491856677,0.9411764705882353,0.9396411092985317,306
pituitary,0.0,0.0,0.0,300
no_tumor,0.0,0.0,0.0,140
