true_class,images,pointing_game_accuracy,mean_energy_inside_tumor,mean_iou_030,mean_iou_050,mean_iou_070
glioma,254,0.09055118110236221,0.04699843692840898,0.04760346636410349,0.05752918216632866,0.05042401333875538
meningioma,306,0.1111111111111111,0.06109923699162766,0.06333354602126048,0.07722023604488573,0.07715561823718349
pituitary,300,0.05333333333333334,0.02418616531427556,0.02545266628885418,0.03708387408502311,0.05332163542506155
