mri_plane,images,pointing_game_accuracy,mean_energy_inside_tumor,mean_iou_030,mean_iou_050,mean_iou_070
axial,346,0.09826589595375723,0.04842049402147511,0.05037233263578346,0.06529031143779285,0.06758941900398394
coronal,257,0.07782101167315175,0.04160801053319857,0.04247820933645701,0.050688496604589385,0.053910727637158706
sagittal,257,0.07392996108949416,0.04063451149834316,0.04187322386845805,0.053500293154216526,0.05903818372767411
