epoch,accuracy,loss,lr,val_accuracy,val_loss
10,0.9877499938011169,0.033983517438173294,1e-05,0.9390000104904175,0.22851823270320892
11,0.9915000200271606,0.024535169824957848,1e-05,0.9440000057220459,0.18346832692623138
12,0.9917500019073486,0.024416720494627953,1e-05,0.9440000057220459,0.18001681566238403
13,0.9947500228881836,0.01888737641274929,1e-05,0.9419999718666077,0.23209257423877716
14,0.9965000152587891,0.012643272057175636,1e-05,0.9470000267028809,0.193013533949852
15,0.9937499761581421,0.01854851469397545,1e-05,0.9520000219345093,0.18186186254024506
16,0.9965000152587891,0.012543885968625546,5e-06,0.9520000219345093,0.1698460876941681
17,0.9982500076293945,0.008040614426136017,5e-06,0.9520000219345093,0.16593502461910248
18,0.9987499713897705,0.005455697886645794,5e-06,0.9509999752044678,0.18129585683345795
19,0.9987499713897705,0.006060384213924408,5e-06,0.9559999704360962,0.17731744050979614
20,0.9990000128746033,0.005461038555949926,5e-06,0.9539999961853027,0.16934572160243988
21,0.9982500076293945,0.006065364461392164,2.5e-06,0.9539999961853027,0.16842807829380035
22,0.9987499713897705,0.005547476001083851,2.5e-06,0.9549999833106995,0.17497089505195618
23,0.9980000257492065,0.005183464381843805,2.5e-06,0.9490000009536743,0.1864490509033203
24,0.9984999895095825,0.005912912078201771,1.25e-06,0.9520000219345093,0.18503393232822418
