epoch,val_loss,loss,accuracy,val_accuracy,lr
1,0.32398179173469543,0.515907883644104,0.8332499861717224,0.8759999871253967,0.001
2,0.2005128264427185,0.21412783861160278,0.9194999933242798,0.9269999861717224,0.001
3,0.19215849041938782,0.13674652576446533,0.9484999775886536,0.9340000152587891,0.001
4,0.1973605901002884,0.08402378112077713,0.9677500128746033,0.9399999976158142,0.001
5,0.192584827542305,0.0773949846625328,0.9710000157356262,0.9350000023841858,0.001
6,0.19171449542045593,0.0700128823518753,0.9782500267028809,0.9440000057220459,0.001
7,0.20399264991283417,0.05795535072684288,0.9822499752044678,0.9359999895095825,0.001
8,0.222691610455513,0.0613652765750885,0.9750000238418579,0.9350000023841858,0.001
9,0.21192756295204163,0.04545367881655693,0.984749972820282,0.9419999718666077,0.001
10,0.19849573075771332,0.027158264070749283,0.9912499785423279,0.9399999976158142,0.0005
11,0.22851823270320892,0.033983517438173294,0.9877499938011169,0.9390000104904175,1e-05
12,0.18346832692623138,0.024535169824957848,0.9915000200271606,0.9440000057220459,1e-05
13,0.18001681566238403,0.024416720494627953,0.9917500019073486,0.9440000057220459,1e-05
14,0.23209257423877716,0.01888737641274929,0.9947500228881836,0.9419999718666077,1e-05
15,0.193013533949852,0.012643272057175636,0.9965000152587891,0.9470000267028809,1e-05
16,0.18186186254024506,0.01854851469397545,0.9937499761581421,0.9520000219345093,1e-05
17,0.1698460876941681,0.012543885968625546,0.9965000152587891,0.9520000219345093,5e-06
18,0.16593502461910248,0.008040614426136017,0.9982500076293945,0.9520000219345093,5e-06
19,0.18129585683345795,0.005455697886645794,0.9987499713897705,0.9509999752044678,5e-06
20,0.17731744050979614,0.006060384213924408,0.9987499713897705,0.9559999704360962,5e-06
21,0.16934572160243988,0.005461038555949926,0.9990000128746033,0.9539999961853027,5e-06
22,0.16842807829380035,0.006065364461392164,0.9982500076293945,0.9539999961853027,2.5e-06
23,0.17497089505195618,0.005547476001083851,0.9987499713897705,0.9549999833106995,2.5e-06
24,0.1864490509033203,0.005183464381843805,0.9980000257492065,0.9490000009536743,2.5e-06
25,0.18503393232822418,0.005912912078201771,0.9984999895095825,0.9520000219345093,1.25e-06
