epoch,accuracy,loss,lr,val_accuracy,val_loss
10,0.9907500147819519,0.02915617637336254,1e-05,0.9620000123977661,0.09667269140481949
11,0.9919999837875366,0.02449583075940609,1e-05,0.9649999737739563,0.09312763065099716
12,0.9934999942779541,0.022032344713807106,1e-05,0.9649999737739563,0.09598858654499054
13,0.9942499995231628,0.019055699929594994,1e-05,0.9620000123977661,0.09858573973178864
14,0.9957500100135803,0.019593602046370506,1e-05,0.9649999737739563,0.09274111688137054
15,0.9947500228881836,0.0185676459223032,1e-05,0.9629999995231628,0.09009959548711777
16,0.996749997138977,0.017072873190045357,1e-05,0.9639999866485596,0.09059497714042664
17,0.9962499737739563,0.014445004053413868,1e-05,0.9649999737739563,0.08757450431585312
18,0.9962499737739563,0.01464816089719534,1e-05,0.9639999866485596,0.09535448253154755
19,0.9955000281333923,0.015798334032297134,1e-05,0.9639999866485596,0.09510335326194763
20,0.9965000152587891,0.01289544627070427,1e-05,0.9629999995231628,0.09505338221788406
21,0.9975000023841858,0.010842211544513702,5e-06,0.9639999866485596,0.09384933114051819
22,0.9980000257492065,0.011439447291195393,5e-06,0.9639999866485596,0.09389834105968475
23,0.996999979019165,0.01179707795381546,5e-06,0.9660000205039978,0.09242893755435944
24,0.9962499737739563,0.01162375882267952,2.5e-06,0.9649999737739563,0.09288820624351501
