epoch,val_loss,loss,accuracy,val_accuracy,lr
1,0.2429412603378296,0.4007370173931122,0.8525000214576721,0.9129999876022339,0.001
2,0.17973054945468903,0.20074224472045898,0.921999990940094,0.9300000071525574,0.001
3,0.134989395737648,0.14498603343963623,0.9474999904632568,0.953000009059906,0.001
4,0.1469375491142273,0.0943448394536972,0.9662500023841858,0.9430000185966492,0.001
5,0.11648112535476685,0.10343405604362488,0.9605000019073486,0.9589999914169312,0.001
6,0.1389438956975937,0.09096144139766693,0.9660000205039978,0.9539999961853027,0.001
7,0.13213206827640533,0.07398179173469543,0.972000002861023,0.953000009059906,0.001
8,0.1324089914560318,0.0813940092921257,0.9682499766349792,0.9559999704360962,0.001
9,0.11003293842077255,0.050257738679647446,0.9804999828338623,0.9589999914169312,0.0005
10,0.10683772712945938,0.03702292963862419,0.9860000014305115,0.9610000252723694,0.0005
11,0.09667269140481949,0.02915617637336254,0.9907500147819519,0.9620000123977661,1e-05
12,0.09312763065099716,0.02449583075940609,0.9919999837875366,0.9649999737739563,1e-05
13,0.09598858654499054,0.022032344713807106,0.9934999942779541,0.9649999737739563,1e-05
14,0.09858573973178864,0.019055699929594994,0.9942499995231628,0.9620000123977661,1e-05
15,0.09274111688137054,0.019593602046370506,0.9957500100135803,0.9649999737739563,1e-05
16,0.09009959548711777,0.0185676459223032,0.9947500228881836,0.9629999995231628,1e-05
17,0.09059497714042664,0.017072873190045357,0.996749997138977,0.9639999866485596,1e-05
18,0.08757450431585312,0.014445004053413868,0.9962499737739563,0.9649999737739563,1e-05
19,0.09535448253154755,0.01464816089719534,0.9962499737739563,0.9639999866485596,1e-05
20,0.09510335326194763,0.015798334032297134,0.9955000281333923,0.9639999866485596,1e-05
21,0.09505338221788406,0.01289544627070427,0.9965000152587891,0.9629999995231628,1e-05
22,0.09384933114051819,0.010842211544513702,0.9975000023841858,0.9639999866485596,5e-06
23,0.09389834105968475,0.011439447291195393,0.9980000257492065,0.9639999866485596,5e-06
24,0.09242893755435944,0.01179707795381546,0.996999979019165,0.9660000205039978,5e-06
25,0.09288820624351501,0.01162375882267952,0.9962499737739563,0.9649999737739563,2.5e-06
