,glioma,meningioma,no_tumor,pituitary
glioma,0.8976377952755905,0.08661417322834646,0.0,0.015748031496062992
meningioma,0.0392156862745098,0.9117647058823529,0.029411764705882353,0.0196078431372549
no_tumor,0.0,0.0,1.0,0.0
pituitary,0.0,0.006666666666666667,0.0,0.9933333333333333
