,precision,recall,f1-score,support
glioma,0.95,0.8976377952755905,0.923076923076923,254.0
meningioma,0.9207920792079208,0.9117647058823529,0.9162561576354681,306.0
no_tumor,0.9395973154362416,1.0,0.9688581314878892,140.0
pituitary,0.9675324675324676,0.9933333333333333,0.9802631578947368,300.0
accuracy,0.945,0.945,0.945,0.945
macro avg,0.9444804655441575,0.9506839586228192,0.9471135925237543,1000.0
weighted avg,0.9448657406584379,0.945,0.9445550084747172,1000.0
