,Glioma,Meningioma,No Tumor,Pituitary
Glioma,0.937007874015748,0.05905511811023622,0.0,0.003937007874015748
Meningioma,0.013071895424836602,0.9673202614379085,0.0032679738562091504,0.016339869281045753
No Tumor,0.0,0.0,1.0,0.0
Pituitary,0.0033333333333333335,0.0033333333333333335,0.0,0.9933333333333333
