epoch,accuracy,loss,lr,val_accuracy,val_loss
10,0.9937499761581421,0.019289959222078323,1e-05,0.9599999785423279,0.12977346777915955
11,0.9950000047683716,0.01904701441526413,1e-05,0.9599999785423279,0.1298937350511551
12,0.9959999918937683,0.01481582410633564,1e-05,0.9610000252723694,0.1287844330072403
13,0.9942499995231628,0.015761036425828934,1e-05,0.9629999995231628,0.12166585773229599
14,0.9959999918937683,0.014271237887442112,1e-05,0.9649999737739563,0.1213621199131012
15,0.9962499737739563,0.012770208530128002,1e-05,0.9629999995231628,0.12498100847005844
16,0.996749997138977,0.01201328169554472,1e-05,0.9639999866485596,0.12678232789039612
17,0.996749997138977,0.011171569116413593,1e-05,0.9610000252723694,0.1259891837835312
18,0.9987499713897705,0.006714924238622189,5e-06,0.9599999785423279,0.12387415766716003
19,0.9977499842643738,0.009220796637237072,5e-06,0.9620000123977661,0.1244317814707756
20,0.9990000128746033,0.007051439955830574,5e-06,0.9660000205039978,0.12294650077819824
21,0.9984999895095825,0.007279436103999615,2.5e-06,0.9629999995231628,0.12472463399171829
