epoch,accuracy,loss,lr,val_accuracy,val_loss
10,0.8370000123977661,0.4133261442184448,1e-05,0.4129999876022339,5.330437183380127
11,0.8537499904632568,0.35785967111587524,1e-05,0.5230000019073486,3.185692310333252
12,0.8677499890327454,0.3295609652996063,1e-05,0.21799999475479126,22.31028938293457
13,0.871749997138977,0.33537477254867554,1e-05,0.6970000267028809,2.9667937755584717
14,0.8812500238418579,0.2980359196662903,1e-05,0.5640000104904175,3.4411230087280273
15,0.8840000033378601,0.30342620611190796,1e-05,0.7699999809265137,0.7279689311981201
16,0.8917499780654907,0.2698162794113159,1e-05,0.5690000057220459,3.148923635482788
17,0.8962500095367432,0.2824643552303314,1e-05,0.6830000281333923,1.0183671712875366
18,0.8995000123977661,0.25269514322280884,1e-05,0.24199999868869781,7.024514675140381
19,0.9282500147819519,0.1914902776479721,5e-06,0.4690000116825104,5.878971099853516
20,0.9302499890327454,0.18246006965637207,5e-06,0.546999990940094,2.266266107559204
21,0.9394999742507935,0.15672490000724792,5e-06,0.6140000224113464,2.038309097290039
22,0.9539999961853027,0.13381490111351013,2.5e-06,0.7160000205039978,1.1339071989059448
