epoch,val_loss,loss,accuracy,val_accuracy,lr
1,0.9806339740753174,0.7122371196746826,0.7260000109672546,0.7080000042915344,0.001
2,0.5635367035865784,0.5183483958244324,0.8015000224113464,0.8059999942779541,0.001
3,0.41598594188690186,0.45630282163619995,0.827750027179718,0.8539999723434448,0.001
4,0.3869461119174957,0.3860477805137634,0.8462499976158142,0.8669999837875366,0.001
5,0.392617791891098,0.377635657787323,0.8485000133514404,0.8429999947547913,0.001
6,0.4368084669113159,0.34652039408683777,0.8567500114440918,0.8579999804496765,0.001
7,0.40986740589141846,0.3185252547264099,0.8740000128746033,0.8510000109672546,0.001
8,0.33291295170783997,0.28774216771125793,0.8877500295639038,0.8799999952316284,0.0005
9,0.3162747323513031,0.24547675251960754,0.9039999842643738,0.8859999775886536,0.0005
10,0.30070751905441284,0.2327701449394226,0.9089999794960022,0.8880000114440918,0.0005
11,5.330437183380127,0.4133261442184448,0.8370000123977661,0.4129999876022339,1e-05
12,3.185692310333252,0.35785967111587524,0.8537499904632568,0.5230000019073486,1e-05
13,22.31028938293457,0.3295609652996063,0.8677499890327454,0.21799999475479126,1e-05
14,2.9667937755584717,0.33537477254867554,0.871749997138977,0.6970000267028809,1e-05
15,3.4411230087280273,0.2980359196662903,0.8812500238418579,0.5640000104904175,1e-05
16,0.7279689311981201,0.30342620611190796,0.8840000033378601,0.7699999809265137,1e-05
17,3.148923635482788,0.2698162794113159,0.8917499780654907,0.5690000057220459,1e-05
18,1.0183671712875366,0.2824643552303314,0.8962500095367432,0.6830000281333923,1e-05
19,7.024514675140381,0.25269514322280884,0.8995000123977661,0.24199999868869781,1e-05
20,5.878971099853516,0.1914902776479721,0.9282500147819519,0.4690000116825104,5e-06
21,2.266266107559204,0.18246006965637207,0.9302499890327454,0.546999990940094,5e-06
22,2.038309097290039,0.15672490000724792,0.9394999742507935,0.6140000224113464,5e-06
23,1.1339071989059448,0.13381490111351013,0.9539999961853027,0.7160000205039978,2.5e-06
