epoch,accuracy,loss,lr
0,0.9765999913215637,0.06829691678285599,1e-05
1,0.9775999784469604,0.05789216235280037,1e-05
2,0.9824000000953674,0.049377571791410446,1e-05
3,0.9789999723434448,0.056131862103939056,1e-05
4,0.9878000020980835,0.042897194623947144,1e-05
5,0.9847999811172485,0.04685245826840401,1e-05
6,0.9887999892234802,0.03961338847875595,1e-05
7,0.9860000014305115,0.04512083902955055,1e-05
8,0.9883999824523926,0.03958414867520332,1e-05
9,0.9850000143051147,0.04292607307434082,1e-05
10,0.9860000014305115,0.040945954620838165,5e-06
11,0.9869999885559082,0.03970014303922653,5e-06
12,0.9854000210762024,0.0418262742459774,5e-06
13,0.9864000082015991,0.03880001977086067,2.5e-06
14,0.9861999750137329,0.04011496901512146,2.5e-06
