Metric,Value,Percentage
Accuracy,0.972,97.2
Balanced Accuracy,0.9744153671967475,97.44153671967474
Macro Precision,0.9753281940859706,97.53281940859706
Macro Recall,0.9744153671967475,97.44153671967474
Macro F1,0.9747178823721109,97.47178823721109
Weighted Precision,0.9721673944261353,97.21673944261353
Weighted Recall,0.972,97.2
Weighted F1,0.9719220886516915,97.19220886516915
Macro AUC,0.9978843629634847,99.78843629634846
Weighted AUC,0.997563213780757,99.7563213780757
