Class,Precision,Recall,F1-score,AUC,Support
glioma,0.9794238683127572,0.937007874015748,0.9577464788732395,0.997092102763294,254
meningioma,0.9487179487179487,0.9673202614379085,0.9579288025889968,0.9947024919477878,306
no_tumor,0.9929078014184397,1.0,0.9964412811387899,1.0,140
pituitary,0.9802631578947368,0.9933333333333333,0.9867549668874172,0.999742857142857,300
Macro Average,0.9753281940859706,0.9744153671967475,0.9747178823721109,0.9978843629634847,1000
